 
# QPROP Version 1.22
# 
# T28 Trojan Prop                                                                 
# 
# CobraCM2217-26 Brushless DC Motor                                               
#   0.17900      Rmotor (Ohms)                  
#   0.36000      Io     (Amps)                  
#    6.9500      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    2.000   500.0      0.000 -0.4023E-01  0.3591E-03  0.1880E-01  72.007    0.3603   0.0007  -4.2791   0.25064 -0.1414E-01  0.8281E-03  -0.2394  -0.0031   25.94     -0.8046E-01  -0.2114  0.8337E-01
    4.000   500.0      0.000 -0.1910     -0.2115E-02 -0.1107      72.007    0.3585  -0.0043   6.8977   0.50128 -0.6710E-01 -0.4877E-02  -0.5755  -0.0296   25.81     -0.7638      -0.7313  0.3464    
    6.000   500.0      0.000 -0.3206      0.7618E-03  0.3989E-01  72.007    0.3606   0.0015 -48.2220   0.75191 -0.1127      0.1757E-02  -0.6309  -0.0741   25.96      -1.923      -0.6748  0.6685    
    8.000   500.0      0.000 -0.5272      0.5002E-02  0.2619      72.008    0.3636   0.0100 -16.1037   1.00255 -0.1853      0.1153E-01  -0.7748  -0.1611   26.18      -4.218      -0.6049  0.9315    
   10.000   500.0      0.000 -0.8161      0.9608E-02  0.5031      72.008    0.3670   0.0190 -16.2226   1.25319 -0.2868      0.2215E-01  -0.9590  -0.3088   26.43      -8.161      -0.5475   1.127    
   12.000   500.0      0.000  -1.186      0.1401E-01  0.7338      72.009    0.3702   0.0275 -19.3929   1.50383 -0.4167      0.3231E-01  -1.1618  -0.5338   26.66      -14.23      -0.5015   1.270    
   14.000   500.0      0.000  -1.635      0.1797E-01  0.9407      72.009    0.3731   0.0350 -24.3330   1.75446 -0.5746      0.4143E-01  -1.3741  -0.8521   26.86      -22.89      -0.4646   1.375    
   16.000   500.0      0.000  -2.163      0.2135E-01   1.118      72.010    0.3755   0.0413 -30.9574   2.00510 -0.7600      0.4922E-01  -1.5914  -1.2796   27.04      -34.60      -0.4347   1.453    
   18.000   500.0      0.000  -2.768      0.2410E-01   1.262      72.010    0.3775   0.0464 -39.4807   2.25574 -0.9727      0.5558E-01  -1.8116  -1.8327   27.19      -49.83      -0.4101   1.514    
   20.000   500.0      0.000  -3.450      0.2620E-01   1.372      72.010    0.3791   0.0503 -50.2960   2.50638  -1.213      0.6042E-01  -2.0336  -2.5281   27.30      -69.01      -0.3897   1.562    
   22.000   500.0      0.000  -4.210      0.2764E-01   1.447      72.010    0.3801   0.0529 -63.9854   2.75701  -1.479      0.6374E-01  -2.2565  -3.3834   27.37      -92.61      -0.3723   1.599    
   24.000   500.0      0.000  -5.045      0.2841E-01   1.488      72.011    0.3807   0.0543 -81.3865   3.00765  -1.773      0.6552E-01  -2.4800  -4.4170   27.41      -121.1      -0.3576   1.630    
   26.000   500.0      0.000  -5.957      0.2852E-01   1.493      72.011    0.3808   0.0545-103.7233   3.25829  -2.093      0.6576E-01  -2.7038  -5.6486   27.42      -154.9      -0.3448   1.656    
   28.000   500.0      0.000  -6.944      0.2796E-01   1.464      72.011    0.3803   0.0534-132.8409   3.50893  -2.440      0.6446E-01  -2.9278  -7.0994   27.39      -194.4      -0.3337   1.677    
   30.000   500.0      0.000  -8.008      0.2673E-01   1.400      72.010    0.3795   0.0512-171.6487   3.75957  -2.814      0.6164E-01  -3.1520  -8.7921   27.32      -240.2      -0.3239   1.695    
   32.000   500.0      0.000  -9.147      0.2485E-01   1.301      72.010    0.3781   0.0478-225.0076   4.01020  -3.214      0.5729E-01  -3.3762 -10.7513   27.23      -292.7      -0.3153   1.710    
   34.000   500.0      0.000  -10.36      0.2230E-01   1.168      72.010    0.3762   0.0431-301.6921   4.26084  -3.641      0.5143E-01  -3.6003 -13.0042   27.09      -352.3      -0.3076   1.723    
   36.000   500.0      0.000  -11.65      0.1911E-01   1.000      72.009    0.3739   0.0372-419.3148   4.51148  -4.095      0.4406E-01  -3.8245 -15.5804   26.92      -419.5      -0.3007   1.735    
   38.000   500.0      0.000  -13.02      0.1526E-01  0.7990      72.009    0.3711   0.0299-619.1959   4.76212  -4.575      0.3518E-01  -4.0486 -18.5127   26.72      -494.7      -0.2945   1.745    
   40.000   500.0      0.000  -14.46      0.1076E-01  0.5635      72.008    0.3678   0.0213*********   5.01275  -5.081      0.2481E-01  -4.2727 -21.8376   26.49      -578.4      -0.2889   1.754    
   42.000   500.0      0.000  -15.98      0.5618E-02  0.2942      72.008    0.3641   0.0112*********   5.26339  -5.614      0.1295E-01  -4.4967 -25.5957   26.22      -671.0      -0.2838   1.762    
   44.000   500.0      0.000  -17.57     -0.1712E-03 -0.8964E-02  72.007    0.3599  -0.0003*********   5.51403  -6.174     -0.3948E-03  -4.7206 -29.8325   25.91      -773.1      -0.2791   1.769    

    2.000   1000.      0.000  0.1374      0.6897E-02  0.7222     143.950    0.3650   0.0137   0.3804   0.12532  0.1207E-01  0.3976E-02   0.6597   0.0052   52.54      0.2747       0.2293  0.4859E-01
    4.000   1000.      0.000 -0.1556     -0.4231E-03 -0.4431E-01 143.949    0.3597  -0.0009  14.0449   0.25064 -0.1367E-01 -0.2439E-03  -0.4618  -0.0120   51.78     -0.6223      -0.2115  0.5895E-01
    6.000   1000.      0.000 -0.5185     -0.1425E-01  -1.492     143.947    0.3496  -0.0296   2.0856   0.37596 -0.4555E-01 -0.8212E-02  -1.0606  -0.0618   50.33      -3.111      -0.6554  0.1144    
    8.000   1000.      0.000 -0.7460     -0.1170E-01  -1.225     143.948    0.3515  -0.0242   4.8721   0.50128 -0.6553E-01 -0.6743E-02  -1.1219  -0.1179   50.60      -5.968      -0.7313  0.3101    
   10.000   1000.      0.000 -0.9648     -0.7742E-02 -0.8108     143.948    0.3544  -0.0159  11.9001   0.62659 -0.8476E-01 -0.4463E-02  -1.1450  -0.1891   51.01      -9.648      -0.7111  0.4736    
   12.000   1000.      0.000  -1.253     -0.3567E-03 -0.3735E-01 143.949    0.3597  -0.0007 402.5645   0.75191 -0.1101     -0.2056E-03  -1.2314  -0.2904   51.78      -15.04      -0.6748  0.6368    
   14.000   1000.      0.000  -1.619      0.7673E-02  0.8035     143.950    0.3656   0.0153 -28.2121   0.87723 -0.1422      0.4423E-02  -1.3600  -0.4307   52.63      -22.67      -0.6384  0.7794    
   16.000   1000.      0.000  -2.068      0.1651E-01   1.729     143.951    0.3720   0.0323 -19.1306   1.00255 -0.1817      0.9520E-02  -1.5178  -0.6178   53.55      -33.08      -0.6049  0.9041    
   18.000   1000.      0.000  -2.599      0.2568E-01   2.689     143.953    0.3787   0.0493 -17.3951   1.12787 -0.2283      0.1480E-01  -1.6949  -0.8580   54.51      -46.77      -0.5746   1.011    
   20.000   1000.      0.000  -3.211      0.3484E-01   3.648     143.954    0.3854   0.0658 -17.6023   1.25319 -0.2821      0.2008E-01  -1.8849  -1.1576   55.47      -64.21      -0.5475   1.103    
   22.000   1000.      0.000  -3.904      0.4378E-01   4.584     143.955    0.3919   0.0813 -18.7332   1.37851 -0.3429      0.2524E-01  -2.0838  -1.5224   56.41      -85.88      -0.5232   1.181    
   24.000   1000.      0.000  -4.676      0.5235E-01   5.482     143.956    0.3981   0.0957 -20.4716   1.50383 -0.4108      0.3018E-01  -2.2891  -1.9584   57.31      -112.2      -0.5015   1.248    
   26.000   1000.      0.000  -5.528      0.6047E-01   6.332     143.957    0.4040   0.1089 -22.7006   1.62915 -0.4857      0.3486E-01  -2.4990  -2.4715   58.16      -143.7      -0.4821   1.306    
   28.000   1000.      0.000  -6.459      0.6805E-01   7.126     143.958    0.4095   0.1209 -25.3798   1.75446 -0.5674      0.3923E-01  -2.7122  -3.0677   58.95      -180.9      -0.4646   1.355    
   30.000   1000.      0.000  -7.468      0.7506E-01   7.860     143.959    0.4146   0.1317 -28.5052   1.87978 -0.6561      0.4327E-01  -2.9279  -3.7535   59.69      -224.0      -0.4489   1.398    
   32.000   1000.      0.000  -8.555      0.8145E-01   8.530     143.960    0.4193   0.1413 -32.0937   2.00510 -0.7516      0.4695E-01  -3.1455  -4.5354   60.36      -273.8      -0.4347   1.436    
   34.000   1000.      0.000  -9.719      0.8722E-01   9.134     143.961    0.4235   0.1498 -36.1772   2.13042 -0.8538      0.5028E-01  -3.3646  -5.4203   60.96      -330.4      -0.4219   1.468    
   36.000   1000.      0.000  -10.96      0.9235E-01   9.671     143.961    0.4272   0.1572 -40.7996   2.25574 -0.9629      0.5324E-01  -3.5847  -6.4156   61.50      -394.6      -0.4101   1.497    
   38.000   1000.      0.000  -12.28      0.9682E-01   10.14     143.962    0.4305   0.1636 -46.0171   2.38106  -1.079      0.5581E-01  -3.8056  -7.5291   61.97      -466.6      -0.3995   1.523    
   40.000   1000.      0.000  -13.67      0.1006       10.54     143.962    0.4332   0.1690 -51.8981   2.50638  -1.201      0.5801E-01  -4.0271  -8.7692   62.37      -546.9      -0.3897   1.546    
   42.000   1000.      0.000  -15.14      0.1038       10.87     143.963    0.4355   0.1733 -58.5256   2.63170  -1.331      0.5983E-01  -4.2492 -10.1448   62.70      -636.1      -0.3806   1.566    
   44.000   1000.      0.000  -16.69      0.1063       11.13     143.963    0.4373   0.1768 -65.9994   2.75701  -1.466      0.6126E-01  -4.4716 -11.6656   62.96      -734.5      -0.3723   1.585    

    2.000   1500.      0.000  0.4865      0.1656E-01   2.601     215.894    0.3720   0.0324   0.3741   0.08355  0.1899E-01  0.4242E-02   1.8582   0.0121   80.32      0.9730       0.3558  0.4100E-01
    4.000   1500.      0.000  0.1144      0.1026E-01   1.611     215.893    0.3675   0.0203   0.2840   0.16709  0.4465E-02  0.2627E-02   0.3080   0.0058   79.33      0.4575       0.0907  0.4046E-01
    6.000   1500.      0.000 -0.3448     -0.2809E-02 -0.4412     215.891    0.3580  -0.0057   4.6894   0.25064 -0.1346E-01 -0.7197E-03  -0.6817  -0.0268   77.28      -2.069      -0.2116  0.4814E-01
    8.000   1500.      0.000 -0.8817     -0.2428E-01  -3.813     215.889    0.3423  -0.0516   1.8497   0.33418 -0.3443E-01 -0.6220E-02  -1.3463  -0.0954   73.91      -7.054      -0.5256  0.6783E-01
   10.000   1500.      0.000  -1.367     -0.3332E-01  -5.235     215.887    0.3357  -0.0722   2.6119   0.41773 -0.5338E-01 -0.8538E-02  -1.6688  -0.1886   72.48      -13.67      -0.7109  0.1770    
   12.000   1500.      0.000  -1.661     -0.2954E-01  -4.641     215.888    0.3385  -0.0635   4.2940   0.50128 -0.6484E-01 -0.7569E-02  -1.6636  -0.2727   73.08      -19.93      -0.7314  0.2940    
   14.000   1500.      0.000  -1.969     -0.2368E-01  -3.720     215.889    0.3428  -0.0503   7.4087   0.58482 -0.7686E-01 -0.6067E-02  -1.6731  -0.3724   74.00      -27.56      -0.7190  0.4056    
   16.000   1500.      0.000  -2.347     -0.1438E-01  -2.259     215.890    0.3495  -0.0299  16.6283   0.66837 -0.9166E-01 -0.3684E-02  -1.7356  -0.4977   75.46      -37.56      -0.7002  0.5184    
   18.000   1500.      0.000  -2.790     -0.4196E-02 -0.6590     215.891    0.3569  -0.0086  76.2077   0.75191 -0.1089     -0.1075E-02  -1.8269  -0.6517   77.06      -50.22      -0.6748  0.6227    
   20.000   1500.      0.000  -3.315      0.7547E-02   1.186     215.893    0.3655   0.0150 -55.9225   0.83546 -0.1294      0.1934E-02  -1.9493  -0.8402   78.91      -66.30      -0.6503  0.7204    
   22.000   1500.      0.000  -3.922      0.2030E-01   3.189     215.894    0.3748   0.0394 -27.0535   0.91900 -0.1531      0.5202E-02  -2.0941  -1.0664   80.91      -86.28      -0.6269  0.8102    
   24.000   1500.      0.000  -4.611      0.3367E-01   5.290     215.896    0.3845   0.0637 -20.9234   1.00255 -0.1801      0.8627E-02  -2.2557  -1.3332   83.01      -110.7      -0.6049  0.8920    
